group,num_files,pitch_histogram_distance_mean,pitch_histogram_distance_std,rhythm_diversity_mean,rhythm_diversity_std,repetition_ratio_mean,repetition_ratio_std,perplexity
random_baseline,5,0.2089586853981018,0.040297939131236936,0.0068770765693584365,0.001283258098423259,0.0,0.0,
markov_baseline,5,0.21855246424674987,0.07048447485892655,0.09679035352352768,0.013717638209798549,0.0032,0.0064,
task1_autoencoder,5,0.12916073203086853,0.0,0.011363636363636364,0.0,1.0,0.0,
task2_vae,8,0.5867603309452534,0.16121065449315067,0.4166702613625112,0.07356349496993858,0.17730645161290323,0.07071771756443652,
task3_transformer,10,0.733418983221054,0.16790891489821413,0.15318050524232543,0.05582024219649485,0.22981708293091052,0.1400581011378149,3.844728913913907
